r (A),g(r)_weighted_U-F,g(r)_unweighted_U-F,g(r)_weighted_F-F,g(r)_unweighted_F-F,g(r)_weighted_Li-F,g(r)_unweighted_Li-F,g(r)_weighted_Na-F,g(r)_unweighted_Na-F,S_i_U-F,S_i_Li-F,S_i_Na-F,Average_SCL,lambda_BC
4.9439036628788795,0.0447328468938352,1.3949701226666067,0.3769087573773269,0.8402094938825605,0.21545719302813385,1.1210516541612296,0.15570261779205571,1.215211301,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.949573277171171,0.0447613199188299,1.3958580388608033,0.37799505585897636,0.8426310834041815,0.2149452417809213,1.1183879055786397,0.15570261779205571,1.215211301,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.955242891463464,0.04478979294382462,1.396745955055,0.379081354340626,0.8450526729258028,0.2144332905337087,1.1157241569960492,0.15570261779205571,1.215211301,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.960912505755756,0.04481826596881932,1.3976338712491967,0.38016765282227544,0.8474742624474236,0.21392133928649618,1.1130604084134592,0.15567424776860986,1.214989881645657,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.966582120048049,0.044845235196803494,1.398474892330609,0.38125395130392514,0.849895851969045,0.21340938803928355,1.1103966598308688,0.15556048082478485,1.2141019654514604,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.9722517343403405,0.04487111976599793,1.399282088902516,0.38234024978557457,0.8523174414906659,0.21286713550999936,1.1075752497568603,0.15544671388095985,1.2132140492572636,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.977921348632633,0.044897004335192385,1.4000892854744231,0.3834265482672242,0.8547390310122872,0.21223107488853388,1.1042657440410424,0.15533294693713484,1.212326133063067,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.983590962924925,0.04492288890438683,1.40089648204633,0.3841843007023963,0.8564282217715425,0.21159501426706845,1.1009562383252247,0.1552191799933098,1.2114382168688702,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.989260577217218,0.044948773473581276,1.4017036786182373,0.38490849973083735,0.8580426148766291,0.21095895364560296,1.0976467326094068,0.15510541304948483,1.2105503006746736,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
4.99493019150951,0.04497465804277572,1.4025108751901443,0.3856326987592783,0.8596570079817155,0.21032289302413754,1.0943372268935891,0.1549916461056598,1.2096623844804768,6.420953152859089e-23,0.0058789112094409755,2.6156729850313305e-05,2.18981,0
