r (A),g(r)_weighted_K-K,g(r)_unweighted_K-K,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_Ca-K,g(r)_unweighted_Ca-K,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,g(r)_weighted_Ca-Cl,g(r)_unweighted_Ca-Cl,g(r)_weighted_Ca-Ca,g(r)_unweighted_Ca-Ca,S_i_K-Cl,S_i_Ca-Cl,Average_SCL,lambda_BC
3.4949188217017015,0.0337176624006917,0.24350461969873458,0.07015690247057702,0.28376352607702626,0.00406000965839799,0.0746538396584253,0.6081752967037978,1.377689539089469,0.040971835863059684,0.4219363349771873,0.0009202867639449345,0.043084751721891024,1.0,0.0012888078547954908,4.00596,0
3.5097277997597596,0.03644693941362068,0.2632151071337157,0.07497821768864132,0.30326429304974895,0.004636915523763582,0.08526175481003655,0.6213332377381255,1.4074960074172647,0.039281228635995494,0.40452611641491515,0.000998254938409662,0.04673496116815322,1.0,0.0012888078547954908,4.00596,0
3.5245367778178176,0.039176216426549657,0.28292559456869687,0.07979953290670563,0.32276506002247163,0.005213821389129174,0.09586966996164778,0.6329159731404994,1.433734188225295,0.037590621408931296,0.38711589785264294,0.0010762231128743892,0.0503851706144154,1.0,0.0012888078547954908,4.00596,0
3.5393457558758756,0.04190549343947864,0.30263608200367803,0.08462084812476996,0.34226582699519437,0.005790727254494766,0.10647758511325903,0.640322846675019,1.4505128575352328,0.03590001418186711,0.3697056792903708,0.0011541912873391166,0.054035380060677596,1.0,0.0012888078547954908,4.00596,0
3.5541547339339337,0.04463477045240762,0.32234656943865914,0.0892065326310577,0.36081353875494215,0.006367633119860359,0.11708550026487027,0.6477297202095387,1.4672915268451707,0.034209406954802915,0.3522954607280986,0.001232159461803844,0.05768558950693978,1.0,0.0012888078547954908,4.00596,0
3.5689637119919917,0.0473640474653366,0.3420570568736403,0.09374194363578711,0.37915790935269356,0.006944538985225951,0.12769341541648152,0.6551365937440584,1.4840701961551086,0.032980410528054914,0.3396390044800727,0.0013101276362685714,0.06133579895320197,1.0,0.0012888078547954908,4.00596,0
3.5837726900500497,0.04997395398879525,0.3609054659920318,0.09827735464051654,0.397502279950445,0.007521444850591542,0.13830133056809274,0.6625434672785779,1.5008488654650463,0.03255857681648991,0.33529487475099623,0.0014361888258648627,0.06723756269501695,1.0,0.0012888078547954908,4.00596,0
3.5985816681081078,0.052580822081722815,0.37973193195605637,0.10281276564524594,0.4158466505481964,0.008098350715957135,0.148909245719704,0.6699503408130976,1.5176275347749841,0.03213674310492491,0.33095074502191973,0.0016450156724769423,0.07701413798832978,1.0,0.0012888078547954908,4.00596,0
3.613390646166166,0.05518769017465038,0.3985583979200809,0.10734817664997535,0.4341910211459478,0.008753859920573618,0.16096248774951982,0.6773572143476172,1.534406204084922,0.03171490939335991,0.3266066152928432,0.001853842519089022,0.08679071328164262,1.0,0.0012888078547954908,4.00596,0
3.628199624224224,0.05779455826757794,0.4173848638841054,0.11188358765470477,0.4525353917436992,0.009440459672708864,0.1735874103773257,0.6847640878821369,1.5511848733948599,0.03129307568179491,0.3222624855637667,0.002062669365701102,0.09656728857495546,1.0,0.0012888078547954908,4.00596,0
3.643008602282282,0.0604014263605055,0.43621132984812994,0.11641899865943418,0.4708797623414507,0.010127059424844109,0.18621233300513157,0.6921709614166566,1.5679635427047978,0.030871241970229907,0.3179183558346902,0.0022714962123131814,0.1063438638682683,1.0,0.0012888078547954908,4.00596,0
3.65781758034034,0.06300829445343308,0.4550377958121545,0.1209544096641636,0.4892241329392021,0.010813659176979355,0.19883725563293744,0.6995778349511762,1.5847422120147356,0.0304494082586649,0.31357422610561364,0.002480323058925261,0.11612043916158113,1.0,0.0012888078547954908,4.00596,0
3.6726265583983984,0.0663481047631832,0.4791574761647562,0.12640185663012066,0.5112574141238418,0.011500258929114621,0.2114621782607437,0.7046192991888659,1.5961625583846104,0.03002757454709989,0.30923009637653703,0.0026891499055373465,0.12589701445489426,1.0,0.0012888078547954908,4.00596,0
3.6874355364564564,0.0709523719629388,0.5124089014902806,0.13264551636816474,0.5365111360029626,0.012186858681249867,0.22408710088854958,0.707743115927448,1.6032388892814786,0.029605740835534883,0.3048859666474605,0.002897976752149426,0.1356735897482071,1.0,0.0012888078547954908,4.00596,0
3.7022445145145144,0.07555663916269438,0.545660326815805,0.13888917610620885,0.5617648578820835,0.012873458433385112,0.23671202351635545,0.7108669326660298,1.6103152201783466,0.029183907123969885,0.300541836918384,0.003106803598761506,0.14545016504151995,1.0,0.0012888078547954908,4.00596,0
3.7170534925725724,0.08016090636244998,0.5789117521413294,0.14513283584425296,0.5870185797612043,0.013780226991252802,0.2533853224052716,0.7139907494046119,1.6173915510752148,0.028762073413366514,0.29619770719921057,0.0033901940255525054,0.15871755805096838,1.0,0.0012888078547954908,4.00596,0
3.7318624706306305,0.08408490176111998,0.6072503420440838,0.15137649558229704,0.6122723016403251,0.015196686137250458,0.2794306087137145,0.717114566143194,1.624467881972083,0.028340239708515343,0.29185357753927443,0.0037875920031930116,0.17732240370584654,1.0,0.0012888078547954908,4.00596,0
3.7466714486886885,0.0869850875061584,0.6281951103530157,0.15762015532034115,0.637526023519446,0.016613145283248115,0.3054758950221574,0.720238382881776,1.6315442128689512,0.02791840600366417,0.2875094478793383,0.004184989980833518,0.1959272493607247,1.0,0.0012888078547954908,4.00596,0
3.7614804267467465,0.08988527325119681,0.6491398786619476,0.16386381505838526,0.6627797453985668,0.01802960442924577,0.33152118133060027,0.7233621996203581,1.6386205437658194,0.027496572298812996,0.28316531821940216,0.004582387958474023,0.21453209501560283,1.0,0.0012888078547954908,4.00596,0
3.7762894048048046,0.09278545899623523,0.6700846469708794,0.17010747479642935,0.6880334672776875,0.019446063575243422,0.3575664676390431,0.7264860163589402,1.6456968746626877,0.02707473859396182,0.278821188559466,0.004979785936114528,0.233136940670481,1.0,0.0012888078547954908,4.00596,0
3.7910983828628626,0.09568564474127365,0.6910294152798113,0.17635113453447346,0.7132871891568084,0.020935596382600813,0.3849554033122405,0.7296098330975221,1.6527732055595556,0.026652904889110648,0.2744770588995299,0.005377183913755035,0.25174178632535915,1.0,0.0012888078547954908,4.00596,0
3.8059073609209206,0.09858583048631207,0.7119741835887432,0.18391521911215972,0.7438816315526836,0.02280681948677228,0.4193627080571949,0.7327336498361041,1.6598495364564239,0.026231071184259474,0.27013292923959376,0.005774581891395541,0.27034663198023734,1.0,0.0012888078547954908,4.00596,0
