r (A),g(r)_weighted_Th-F,g(r)_unweighted_Th-F,g(r)_weighted_Th-Th,g(r)_unweighted_Th-Th,g(r)_weighted_F-F,g(r)_unweighted_F-F,S_i_Th-F,Average_SCL,lambda_BC
0.4140134452492492,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.42197524227327327,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.42993703929729726,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.4378988363213213,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.4458606333453453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.45382243036936937,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.46178422739339337,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.4697460244174174,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.4777078214414414,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.48566961846546547,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.49363141548948947,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.5015932125135135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.5095550095375375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.5175168065615615,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.5254786035855855,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.5334404006096096,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.5414021976336336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.5493639946576576,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.5573257916816816,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.5652875887057057,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.5732493857297297,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.5812111827537537,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.5891729797777777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.5971347768018018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.6050965738258258,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.6130583708498498,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.6210201678738738,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.6289819648978979,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.6369437619219219,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.6449055589459459,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.6528673559699699,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.6608291529939939,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.668790950018018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.676752747042042,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.684714544066066,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
