r (A),g(r)_weighted_Na-Na,g(r)_unweighted_Na-Na,g(r)_weighted_Na-Cl,g(r)_unweighted_Na-Cl,g(r)_weighted_K-K,g(r)_unweighted_K-K,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_Ca-Ca,g(r)_unweighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_unweighted_Ca-Cl,S_i_Na-Cl,S_i_K-Cl,S_i_Ca-Cl,Average_SCL,lambda_BC
4.295736887927927,0.06766831049119758,1.7811488241929208,0.08680884005942631,0.6248057816845667,0.0012003967142517609,1.6332617676932284,0.01321088826442185,0.68363008573327,0.10219537082500174,1.697069397804139,0.06140016596658758,0.3510163800027394,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.310652641011011,0.06740831439626482,1.7743052701655968,0.08720847799194009,0.6276821718153891,0.001262646525743087,1.7179589648346478,0.013127651778278857,0.6793228079015957,0.10596658552887019,1.759694671481588,0.06186170237807238,0.3536549207598932,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.325568394094094,0.06714831830133206,1.7674617161382729,0.08763604920818932,0.6307596114841088,0.0013483201226842305,1.8345266034523107,0.013044415292135864,0.6750155300699214,0.10928409841201042,1.814785714699574,0.06232323878955718,0.356293461517047,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.340484147177177,0.06688832220639929,1.760618162110949,0.08806362042443855,0.6338370511528284,0.0014194264110650309,1.9312739377927923,0.01296117880599287,0.670708252238247,0.11257740891812124,1.8694748501493395,0.06258201362063222,0.35777284195535414,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.35539990026026,0.06662832611146653,1.753774608083625,0.08849119164068776,0.636914490821548,0.0014049088937713135,1.9115213795958688,0.012877942319849877,0.6664009744065728,0.11551751004124537,1.9182985454128716,0.06247682333223829,0.3571714834140177,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.370315653343343,0.06635242786070336,1.746512481375029,0.08891876285693698,0.6399919304902676,0.0013903913764775973,1.8917688213989465,0.01288907639642947,0.6669771347354104,0.11845761116436934,1.9671222406764008,0.062371633043844354,0.35657012487268125,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.385231406426426,0.06583077049537661,1.7327815429765567,0.0893463340731862,0.6430693701589872,0.00137587385918388,1.872016263202023,0.012923481165618401,0.668757494605201,0.12131764830647551,2.0146163832316737,0.062266442755450416,0.3559687663313448,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.400147159509509,0.06530911313004985,1.7190506045780845,0.08977390528943544,0.6461468098277069,0.0013613563418901626,1.8522637050050994,0.012957885934807336,0.6705378544749916,0.12384674332809836,2.05661485860963,0.062161252467056484,0.35536740779000836,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.415062912592592,0.0647874557647231,1.7053196661796124,0.09029968290233101,0.6499310890807481,0.0013468388245964455,1.832511146808176,0.012992290703996271,0.6723182143447822,0.1263758383497212,2.0986133339875854,0.062056062178662545,0.3547660492486719,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.429978665675676,0.06426579839939635,1.6915887277811401,0.09086596345028262,0.654006887814765,0.0013383960410927565,1.8210238815184825,0.013026695473185204,0.6740985742145728,0.12876948492494614,2.138362535142,0.0631086594814722,0.36078360456006886,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.444894418758759,0.06374632959911272,1.6779153962598743,0.09143224399823426,0.6580826865487819,0.0013449676881451462,1.8299652754376856,0.013061100242374139,0.6758789340843634,0.13015860955200464,2.161430516355688,0.06509832699423004,0.37215826253928935,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.459810171841841,0.06322973503111604,1.664317719582378,0.09199852454618584,0.6621584852827984,0.0013515393351975357,1.8389066693568883,0.01309299506208573,0.6775294104109707,0.13154773417906304,2.184498497569375,0.06708799450698776,0.3835329205185092,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.4747259249249245,0.06271314046311931,1.6507200429048805,0.09256480509413748,0.6662342840168153,0.0013581109822499255,1.8478480632760916,0.013124147965256917,0.6791414944313249,0.13293685880612152,2.2075664787830633,0.06907766201974558,0.39490757849772967,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.489641678008008,0.0621965458951226,1.6371223662273833,0.0931310856420891,0.6703100827508321,0.0013646826293023154,1.8567894571952948,0.013155300868428104,0.680753578451679,0.13432598343318,2.2306344599967516,0.07106732953250341,0.40628223647695016,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.504557431091091,0.06167995132712588,1.6235246895498858,0.09369736619004074,0.674385881484849,0.001372211280182357,1.867032952115511,0.013186453771599292,0.6823656624720332,0.1357833763704751,2.254836113501142,0.07305699704526125,0.41765689445617066,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
4.519473184174174,0.06117342611363764,1.6101920559747354,0.09436570431181372,0.679196238613433,0.0013809122617549148,1.8788715221275256,0.013217606674770477,0.6839777464923873,0.13733005195182832,2.280520406011222,0.07504666455801907,0.42903155243539115,0.012338009268284572,6.735776284017512e-23,0.08179724557682032,2.78889,0
