r (A),g(r)_weighted_Li-F,g(r)_unweighted_Li-F,g(r)_weighted_F-F,g(r)_unweighted_F-F,g(r)_weighted_Na-F,g(r)_unweighted_Na-F,S_i_Li-F,S_i_Na-F,Average_SCL,lambda_BC
2.688069512765766,0.10522144570060746,0.4840186502227944,0.37967351805461824,1.0478989098307465,0.17077835628877366,1.1783706583925382,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.6937048786206206,0.1048037057992598,0.48209704667659514,0.3865318936274858,1.066828026411861,0.16886232271170576,1.1651500267107697,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.6993402444754757,0.1043859658979121,0.48017544313039573,0.39356797001421534,1.0862475972392345,0.16694628913463774,1.1519293950290004,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.7049756103303304,0.10396822599656445,0.47825383958419654,0.4006040464009442,1.1056671680666061,0.16503025555756984,1.138708763347232,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.710610976185185,0.10355048609521679,0.4763322360379973,0.40764012278767314,1.125086738893978,0.16311422198050196,1.1254881316654635,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.7162463420400402,0.1031327461938691,0.47441063249179793,0.41467619917440257,1.1445063097213513,0.16119818840343392,1.112267499983694,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.721881707894895,0.10277580301007203,0.4727686938463314,0.4217122755611315,1.1639258805487231,0.159282154826366,1.0990468683019254,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.72751707374975,0.10247503030013179,0.4713851393806063,0.42874835194786093,1.1833454513760964,0.15759464979481372,1.0874030835842146,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.7331524396046047,0.10217425759019155,0.4700015849148812,0.4355247542614366,1.2020483217615652,0.15592369025775576,1.0758734627785147,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.7387878054594594,0.10187348488025133,0.4686180304491562,0.44103892072251083,1.2172674211941301,0.1542527307206978,1.0643438419728148,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.7444231713143146,0.10157271217031108,0.46723447598343104,0.4465530871835855,1.2324865206266962,0.15258177118363972,1.052814221167114,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.7500585371691693,0.10127193946037086,0.465850921517706,0.45206725364465966,1.247705620059261,0.15091081164658177,1.0412846003614142,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.755693903024024,0.1009562263599595,0.4643986412558138,0.45758142010573394,1.2629247194918258,0.14923985210952384,1.0297549795557144,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.761329268878879,0.10040480970263505,0.4618621246321213,0.4630955865668086,1.2781438189243919,0.1477056920176527,1.0191692749218038,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.7669646347337338,0.09985339304531061,0.4593256080084289,0.46860975302788277,1.2933629183569566,0.14632436546552258,1.0096381217121058,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.772600000588589,0.09930197638798614,0.45678909138473633,0.4739062766423335,1.3079813235328406,0.1449430389133923,1.0001069685024069,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.7782353664434436,0.09875055973066173,0.454252574761044,0.479114100640361,1.3223549177673966,0.14356171236126217,0.9905758152927089,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.7838707322982983,0.0981991430733373,0.45171605813735166,0.48432192463838847,1.3367285120019523,0.142180385809132,0.9810446620830108,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.7895060981531534,0.09764772641601284,0.44917954151365913,0.48952974863641635,1.3511021062365094,0.14079905925700176,0.971513508873312,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.795141464008008,0.09737676907180082,0.4479331377302838,0.4947375726344439,1.3654757004710654,0.1394205755178182,0.9620019710729455,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.800776829862863,0.09729322110055642,0.4475488170625596,0.49994539663247134,1.3798492947056211,0.13827318327160246,0.9540849645740569,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.806412195717718,0.09720967312931202,0.44716449639483535,0.5050556355133372,1.3939535540168109,0.1371257910253866,0.9461679580751676,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.8120475615725726,0.09712612515806762,0.44678017572711115,0.5098735688246231,1.40725104995596,0.13597839877917087,0.938250951576279,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.8176829274274278,0.09704257718682323,0.4463958550593869,0.5146915021359094,1.4205485458951101,0.13483100653295504,0.9303339450773898,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.8233182932822825,0.09695902921557883,0.4460115343916627,0.5195094354471953,1.4338460418342591,0.1336836142867393,0.9224169385785012,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.828953659137137,0.09688711717391303,0.445680739,0.5243273687584812,1.4471435377734083,0.13253622204052357,0.9144999320796126,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.8345890249919923,0.09688711717391303,0.445680739,0.5291453020697675,1.4604410337125584,0.13133348918016016,0.906201075343105,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.840224390846847,0.09688711717391303,0.445680739,0.5339632353810533,1.4737385296517074,0.13008583939548143,0.8975922918288218,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.8458597567017017,0.09688711717391303,0.445680739,0.5380550259614042,1.4850318716534758,0.12883818961080268,0.8889835083145385,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.851495122556557,0.09688711717391303,0.445680739,0.5419539315665681,1.4957928511237282,0.12759053982612387,0.8803747248002546,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.8571304884114115,0.09688711717391303,0.445680739,0.5458528371717316,1.5065538305939796,0.12634289004144514,0.8717659412859714,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.8627658542662666,0.09688711717391303,0.445680739,0.5497517427768955,1.517314810064232,0.1250952402567663,0.8631571577716874,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.8684012201211213,0.09677364151376998,0.44515875096334195,0.5536506483820591,1.5280757895344834,0.12385986424182392,0.854633063268585,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.874036585975976,0.09660654557128119,0.44439010962789355,0.5575495539872226,1.5388367690047347,0.12274589122459664,0.8469466494497168,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.879671951830831,0.09643944962879239,0.4436214682924451,0.5612371134224544,1.5490144330459743,0.12163191820736925,0.8392602356308478,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.885307317685686,0.09627235368630362,0.4428528269569967,0.5644954845028919,1.5580075372279818,0.12051794519014196,0.8315738218119795,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.8909426835405405,0.09610525774381484,0.44208418562154833,0.5677538555833294,1.5670006414099893,0.11940397217291468,0.8238874079931112,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.8965780493953956,0.09593816180132604,0.44131554428609987,0.571012226663767,1.5759937455919975,0.11828999915568729,0.8162009941742423,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.9022134152502503,0.09580399100040068,0.4406983586018432,0.5742705977442046,1.584986849774005,0.11717602613846,0.8085145803553739,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.907848781105105,0.09578728141288201,0.4406214944992573,0.5775289688246421,1.5939799539560124,0.11631536347690354,0.8025760079906343,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.91348414695996,0.09577057182536333,0.4405446303966714,0.5807873399050798,1.6029730581380206,0.11560242072001306,0.7976567029680901,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.919119512814815,0.09575386223784466,0.4404677662940855,0.5833674690856026,1.6100942146762633,0.11488947796312265,0.7927373979455463,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.92475487866967,0.095737152650326,0.4403909021914996,0.5858460590906566,1.6169351230902123,0.11417653520623218,0.787818092923002,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.9303902445245247,0.09572044306280732,0.44031403808891373,0.5883246490957103,1.6237760315041605,0.11346359244934177,0.7828987879004582,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.9360256103793794,0.09570373347528864,0.44023717398632783,0.5908032391007639,1.6306169399181087,0.11275064969245135,0.7779794828779143,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.9416609762342345,0.09578845368070865,0.4406268869312599,0.593281829105818,1.6374578483320577,0.11204725822291851,0.7731260817381377,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.947296342089089,0.0959054208269904,0.4411649358041559,0.5957604191108716,1.644298756746006,0.11139001415554178,0.7685910976732383,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.952931707943944,0.09602238797327213,0.4417029846770519,0.5978055215041347,1.649943239351412,0.11073277008816508,0.764056113608339,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.958567073798799,0.09613935511955388,0.4422410335499479,0.5992258371162426,1.6538633104408298,0.11007552602078832,0.7595211295434394,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.9642024396536537,0.09625632226583562,0.4427790824228439,0.6006461527283503,1.6577833815302472,0.10941828195341162,0.7549861454785401,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.969837805508509,0.09637328941211736,0.4433171312957399,0.6020664683404583,1.661703452619665,0.10876103788603485,0.7504511614136404,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.9754731713633635,0.09653017264585778,0.4440387941709459,0.6034867839525659,1.6656235237090824,0.10810379381865814,0.7459161773487412,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.9811085372182182,0.0967808166001268,0.44519175636058334,0.6049070995646737,1.6695435947984998,0.107494092776849,0.7417092401602581,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.9867439030730734,0.09703146055439582,0.44634471855022084,0.6063274151767817,1.6734636658879176,0.10690368705954693,0.7376354407108738,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.992379268927928,0.09728210450866481,0.44749768073985824,0.6083823275642624,1.6791352240773643,0.10631328134224491,0.7335616412614898,0.24517779671093248,0.020435870418039813,2.28196,2.63857
2.9980146347827827,0.09753274846293383,0.4486506429294957,0.6104710270136273,1.6849000345576117,0.10572287562494288,0.7294878418121059,0.24517779671093248,0.020435870418039813,2.28196,2.63857
3.003650000637638,0.09778339241720285,0.4498036051191332,0.6125597264629924,1.6906648450378594,0.10513246990764083,0.7254140423627217,0.24517779671093248,0.020435870418039813,2.28196,2.63857
3.0092853664924926,0.09803403637147187,0.45095656730877065,0.6146484259123574,1.6964296555181066,0.10454206419033879,0.7213402429133376,0.24517779671093248,0.020435870418039813,2.28196,2.63857
3.0149207323473477,0.09836873962020445,0.45249620225294057,0.6167371253617225,1.7021944659983543,0.10393207460299288,0.7171313147606508,0.24517779671093248,0.020435870418039813,2.28196,2.63857
3.0205560982022024,0.09871964109270069,0.4541103490264233,0.6188258248110874,1.7079592764786016,0.1032636907881697,0.7125194664383709,0.24517779671093248,0.020435870418039813,2.28196,2.63857
3.026191464057057,0.09907054256519694,0.455724495799906,0.620546617686333,1.7127086648142795,0.10259530697334655,0.7079076181160912,0.24517779671093248,0.020435870418039813,2.28196,2.63857
3.031826829911912,0.09942144403769321,0.45733864257338885,0.6218833853047624,1.7163981434411446,0.10192692315852332,0.7032957697938109,0.24517779671093248,0.020435870418039813,2.28196,2.63857
3.037462195766767,0.09977234551018946,0.45895278934687156,0.6232201529231918,1.7200876220680097,0.10125853934370015,0.698683921471531,0.24517779671093248,0.020435870418039813,2.28196,2.63857
3.0430975616216216,0.1001232469826857,0.46056693612035426,0.6245569205416212,1.7237771006948746,0.10059015552887698,0.6940720731492511,0.24517779671093248,0.020435870418039813,2.28196,2.63857
3.0487329274764767,0.1004109417489102,0.461890332044987,0.6258936881600505,1.7274665793217399,0.09992177171405375,0.6894602248269709,0.24517779671093248,0.020435870418039813,2.28196,2.63857
3.0543682933313314,0.10059474731256868,0.462735837637816,0.6272304557784799,1.731156057948605,0.099332689435364,0.6853955571040116,0.24517779671093248,0.020435870418039813,2.28196,2.63857
3.0600036591861866,0.10077855287622718,0.4635813432306451,0.6285331695455117,1.7347515479456126,0.09876456319734932,0.6814754860617103,0.24517779671093248,0.020435870418039813,2.28196,2.63857
3.0656390250410412,0.10096235843988567,0.4644268488234742,0.6287002654813734,1.7352127327285907,0.09819643695933468,0.6775554150194093,0.24517779671093248,0.020435870418039813,2.28196,2.63857
3.071274390895896,0.10114616400354416,0.4652723544163032,0.628867361417235,1.7356739175115687,0.09762831072132007,0.6736353439771084,0.24517779671093248,0.020435870418039813,2.28196,2.63857
3.076909756750751,0.10132996956720265,0.4661178600091323,0.6290344573530967,1.736135102294547,0.09706018448330539,0.6697152729348071,0.24517779671093248,0.020435870418039813,2.28196,2.63857
3.0825451226056058,0.10151377513086116,0.4669633656019614,0.6292015532889583,1.7365962870775251,0.09649205824529075,0.6657952018925062,0.24517779671093248,0.020435870418039813,2.28196,2.63857
3.0881804884604604,0.10175894489683278,0.4680911465254308,0.6293686492248199,1.7370574718605032,0.0959902644925488,0.6623328249985867,0.24517779671093248,0.020435870418039813,2.28196,2.63857
3.0938158543153156,0.102009588844217,0.4692441086833983,0.6295357451606816,1.7375186566434815,0.09562265338766582,0.6597963083748941,0.24517779671093248,0.020435870418039813,2.28196,2.63857
3.0994512201701703,0.10226023279160121,0.4703970708413656,0.6294651695025677,1.737323867827087,0.09525504228278286,0.6572597917512017,0.24517779671093248,0.020435870418039813,2.28196,2.63857
