r (A),g(r)_weighted_Li-Cl,g(r)_unweighted_Li-Cl,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_Sm-Cl,g(r)_unweighted_Sm-Cl,S_i_Li-Cl,S_i_K-Cl,S_i_Sm-Cl,Average_SCL,lambda_BC
1.046626109883884,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.0544954791311312,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.0623648483783785,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.0702342176256257,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.078103586872873,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.0859729561201201,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.0938423253673675,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.1017116946146148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.109581063861862,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.1174504331091093,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.1253198023563564,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.1331891716036038,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.141058540850851,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.1489279100980982,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.1567972793453454,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.1646666485925927,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.1725360178398399,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.1804053870870872,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.1882747563343345,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.1961441255815817,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.204013494828829,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.2118828640760761,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.2197522333233235,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.2276216025705706,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.235490971817818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.243360341065065,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.2512297103123124,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.2590990795595598,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.266968448806807,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.2748378180540543,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.2827071873013014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.2905765565485487,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.2984459257957959,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.3063152950430432,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.3141846642902903,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.3220540335375377,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
1.3299234027847848,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
