r (A),g(r)_weighted_F-F,g(r)_weighted_K-F,g(r)_weighted_Mg-F,g(r)_weighted_Mg-Mg,g(r)_weighted_Na-F,S_i_K-F,S_i_Mg-F,S_i_Na-F,Average_SCL,lambda_BC
3.830414597818182,0.5688814048717546,0.11630388326121296,0.009612058803902866,0.005337134653401613,0.060370980809941896,0.09834974280426378,1.4733083302222453e-05,0.010955421024002479,2.55146,3.95351295352575
3.890264825909091,0.5564748391412173,0.11795520091210088,0.01061040557878332,0.0047948508991903305,0.06343997380951936,0.09834974280426378,2.2980202556835007e-06,0.010955421024002479,2.55146,3.95351295352575
3.950115054,0.5397979589866995,0.12001645560248361,0.011580660869431578,0.004014270175127269,0.0666878351525782,0.09834974280426378,2.749016799703551e-12,0.010955421024002479,2.55146,3.95351295352575
4.009965282090909,0.5221821596313498,0.11835301431501877,0.012497936152495295,0.00338521525371193,0.07104130108002427,0.09834974280426378,2.749016799703551e-12,0.010955421024002479,2.55146,3.95351295352575
4.069815510181818,0.5045663602760002,0.11601057338274941,0.013343774128824412,0.002729629619904311,0.0758510877748184,0.09834974280426378,2.749016799703551e-12,0.010955421024002479,2.55146,3.95351295352575
4.1296657382727275,0.4804420747414545,0.12172655184008971,0.014025089416110031,0.0020808555838243126,0.07946175552421714,0.09834974280426378,2.749016799703551e-12,0.010955421024002479,2.55146,3.95351295352575
4.189515966363636,0.46322528222445675,0.12536975098014017,0.01581342605283959,0.0016455336280844282,0.08488672957490284,0.09834974280426378,2.749016799703551e-12,0.010955421024002479,2.55146,3.95351295352575
4.249366194454545,0.4468955737929852,0.12943470562393977,0.01807842531815247,0.0013379439259712988,0.09136458135290883,0.09834974280426378,2.749016799703551e-12,0.010955421024002479,2.55146,3.95351295352575
4.309216422545455,0.430910620753044,0.13577015665091996,0.02048812611675902,0.0011393828255040462,0.09784397572058919,0.09834974280426378,2.749016799703551e-12,0.010955421024002479,2.55146,3.95351295352575
4.369066650636364,0.4148705050373815,0.1429156041357002,0.02306053233155041,0.0009936983939596714,0.10427821875427572,0.09834974280426378,2.749016799703551e-12,0.010955421024002479,2.55146,3.95351295352575
4.428916878727272,0.4039935796540349,0.14894360451180572,0.025210817718495794,0.0008801893190033054,0.11194126872493633,0.09834974280426378,2.749016799703551e-12,0.010955421024002479,2.55146,3.95351295352575
4.488767106818182,0.39230982172685147,0.15497160488791134,0.026723548998526823,0.0007718719968728768,0.11939495046996806,0.09834974280426378,2.749016799703551e-12,0.003178223145888658,2.55146,3.95351295352575
4.548617334909091,0.38262105932787893,0.16099960526401688,0.028154755299341933,0.0006702378164266743,0.1251066935061045,0.09834974280426378,2.749016799703551e-12,3.721527471720795e-05,2.55146,3.95351295352575
