r (A),g(r)_weighted_K-Na,g(r)_weighted_Na-Zn,g(r)_weighted_Cl-Cl,g(r)_weighted_Na-Cl,g(r)_weighted_K-Cl,g(r)_weighted_Zn-Cl,S_i_Na-Cl,S_i_K-Cl,S_i_Zn-Cl,Average_SCL,lambda_BC
10.67470736727273,0.02015381077622075,0.022114419760974106,0.4639013893565665,0.07156403107936268,0.13428471286611818,0.12418593535438986,2.4902899517936456e-38,9.382091410581631e-14,7.898352395664897e-15,2.75784,0
10.872387133333335,0.02158568703815797,0.024014760180757697,0.4667512640932287,0.07043526828068698,0.1301087320525333,0.1207441328509682,2.4902899517936456e-38,9.382091410581631e-14,7.898352395664897e-15,2.75784,0
11.070066899393941,0.023010801968229654,0.025272248684619452,0.465337213780211,0.0697114574343458,0.12679672874244935,0.11825709135461025,2.4902899517936456e-38,9.382091410581631e-14,7.898352395664897e-15,2.75784,0
11.267746665454547,0.024187990103544624,0.025787894903931817,0.4566603066888605,0.06913206358376413,0.1245992335922764,0.11698278489523994,2.4902899517936456e-38,9.382091410581631e-14,7.898352395664897e-15,2.75784,0
11.465426431515153,0.0251570589202606,0.025497454146739856,0.4479833995975101,0.06938691769776627,0.12328805446160862,0.11745586554200324,2.4902899517936456e-38,9.382091410581631e-14,7.898352395664897e-15,2.75784,0
11.66310619757576,0.02551592203750401,0.025012415367670453,0.43930649250615966,0.07152623590674641,0.12291364855292725,0.12135655269910436,2.4902899517936456e-38,9.382091410581631e-14,7.898352395664897e-15,2.75784,0
11.860785963636365,0.025263875840480097,0.02397196519469913,0.43244580866047094,0.07372301371443497,0.12448107069002236,0.12863764853754237,2.4902899517936456e-38,9.382091410581631e-14,7.898352395664897e-15,2.75784,0
12.058465729696971,0.02451470985888697,0.02254714387759854,0.4271831570560031,0.07591979152212353,0.12828725089908502,0.13591874437598037,2.4902899517936456e-38,7.262613996909733e-14,7.898352395664897e-15,2.75784,0
12.256145495757577,0.023532507516670693,0.021463016597444793,0.4217152506491211,0.07808884550393899,0.13330800037436824,0.14064398877685388,2.4902899517936456e-38,2.50106488690306e-14,7.898352395664897e-15,2.75784,0
12.453825261818183,0.02255030517445442,0.020427637104758638,0.4175896142386885,0.07990481886528111,0.1376098916069268,0.14407231896627015,2.4902899517936456e-38,3.23614906418346e-20,4.676724399834407e-15,2.75784,0
12.65150502787879,0.021432365896271073,0.019639645047759568,0.41503264479508506,0.08134986952675792,0.14112702100697957,0.1470621518344447,2.4902899517936456e-38,3.23614906418346e-20,2.0886195101346432e-16,2.75784,0
12.849184793939395,0.02060274852279166,0.019104731588073288,0.4134725330004625,0.08240614397772561,0.14443832453934577,0.14895955969981042,2.2866516456203871e-38,3.23614906418346e-20,2.0886195101346432e-16,2.75784,0
13.046864560000001,0.02004046124425754,0.01890527407407442,0.41895036867266083,0.08211823705427003,0.1468793684945039,0.14943235811375846,1.1231371980203805e-38,3.23614906418346e-20,2.0886195101346432e-16,2.75784,0
13.244544326060607,0.019664072991982848,0.019084206190459748,0.42676662042403374,0.08178173328288102,0.14758035356475238,0.1485211625242255,4.254184062558544e-43,3.23614906418346e-20,2.0886195101346432e-16,2.75784,0
13.442224092121213,0.019380048239103605,0.019609050104548244,0.4345828721754067,0.08009492911895069,0.14712239536629448,0.1426989026442817,4.254184062558544e-43,3.23614906418346e-20,2.0886195101346432e-16,2.75784,0
