r (A),g(r)_weighted_Li-F,g(r)_weighted_Na-F,g(r)_weighted_K-F,g(r)_weighted_Li-Li,g(r)_weighted_F-F,g(r)_weighted_Li-Na,g(r)_weighted_K-Li,g(r)_weighted_Na-Na,g(r)_weighted_K-Na,g(r)_weighted_K-K,S_i_Li-F,S_i_Na-F,S_i_K-F,Average_SCL,lambda_BC
3.2562155882323234,0.06236469761877462,0.021613588103466124,0.1457698142514979,0.12428594519878083,0.7129282474014839,0.04213705745425459,0.14773291351998333,0.009635260352217793,0.02268128150734278,0.05623344357144557,0.247653443551669,0.011993653632155675,0.1045352972249509,2.52477,2.421498
3.3063112126666665,0.06625881139198389,0.02117539046021802,0.1342895978281812,0.12215576428039514,0.6865132418143454,0.040840723182967706,0.14972506580723838,0.010069225660741839,0.025352978434980383,0.06505427135284185,0.247653443551669,0.011993653632155675,0.1045352972249509,2.52477,2.421498
3.35640683710101,0.07043344322956094,0.020933756532576862,0.12520571546509746,0.11963712113484462,0.6519177461221942,0.03915193199487821,0.15017038079690667,0.010321479306534903,0.02780102087725027,0.0737656494492985,0.247653443551669,0.011993653632155675,0.1045352972249509,2.52477,2.421498
3.4065024615353536,0.07390949840525114,0.02091066455236478,0.11764950659945728,0.11740077677839474,0.6046066986236179,0.0372948811570736,0.149085179106284,0.010218950747746567,0.029879423031204742,0.08220224511409802,0.247653443551669,0.011993653632155675,0.1045352972249509,2.52477,2.421498
3.456598085969697,0.0773819566678898,0.021172135852354983,0.11128078740555782,0.11529272016321461,0.574942187964401,0.03534197493406154,0.14659893533752064,0.010063858254955928,0.031318682503007456,0.08944980387412065,0.247653443551669,0.011993653632155675,0.1045352972249509,2.52477,2.421498
3.5066937104040403,0.08447721385406938,0.02170590390092225,0.10677207041647321,0.11084377095104668,0.5441372685959667,0.03404315667951651,0.14260557176059913,0.009958733524353112,0.03240775549010371,0.09617740210387558,0.247653443551669,0.011993653632155675,0.1045352972249509,2.52477,2.421498
3.556789334838384,0.09508284162477462,0.022408838929147985,0.10264971950348555,0.1063555274853845,0.5121344788172765,0.0328648236144296,0.13751161916744514,0.009882252060953172,0.03317943319528381,0.10237728910799344,0.247653443551669,0.011993653632155675,0.1045352972249509,2.52477,2.421498
3.6068849592727275,0.10384070317677045,0.022976794138454458,0.09950538477926765,0.10167397496705341,0.4797102683963422,0.031727139482040104,0.13192797872772263,0.009728155521596926,0.03340085773219596,0.1078965328270057,0.247653443551669,0.011993653632155675,0.1045352972249509,2.52477,2.421498
3.6569805837070706,0.11009024786227287,0.023413536182632626,0.09847314006105118,0.09678342664275166,0.45079526015776145,0.03061829727191383,0.1264306143594575,0.009538175951407758,0.03335838936426628,0.1125422680882161,0.247653443551669,0.011993653632155675,0.1045352972249509,2.52477,2.421498
3.707076208141414,0.11753268311540821,0.023567303206570207,0.0971069051375757,0.09070950908924368,0.42452697344529206,0.029607059338251217,0.12064524450464383,0.009308850344000214,0.0329661541745153,0.11627307696916633,0.09143701896709441,0.011993653632155675,0.1045352972249509,2.52477,2.421498
3.7571718325757577,0.12581779554398528,0.023642473408998006,0.09560952349168225,0.08313743761935397,0.40119768038363335,0.02869406113548252,0.11453946374801578,0.008973286475610588,0.03185581948222966,0.1178904388040029,0.002041839702842698,0.011993653632155675,0.1045352972249509,2.52477,2.421498
3.807267457010101,0.13496645679515717,0.024263246804987,0.09400499794945055,0.07703611463328276,0.3841945391246131,0.027832797699438427,0.10960190692936665,0.008211768279974517,0.030779225426222384,0.11851594907676244,0.002041839702842698,0.011993653632155675,0.1045352972249509,2.52477,2.421498
3.8573630814444444,0.14324438151917218,0.025814227071007403,0.09349602176910436,0.07048594108114066,0.37031617316483806,0.02687499580759089,0.10439918587722705,0.007600560391215276,0.029755136953577344,0.11818002991319382,0.002041839702842698,0.011993653632155675,0.1045352972249509,2.52477,2.421498
3.907458705878788,0.15224588945972012,0.0273652073370278,0.09356593718900358,0.06325018751413299,0.3559377637612041,0.025774176636662028,0.10029953499877291,0.007075770264688769,0.028714211758802337,0.11649527805039286,0.002041839702842698,0.011993653632155675,0.1045352972249509,2.52477,2.421498
